Rpt Dist No,total_crime,shannon_index,normalized_shannon
0705,706,1.5725611098120016,0.7562420382068732
0706,895,1.534040726916369,0.737717649747982
0711,1014,1.5315330589123526,0.7365117163501186
0713,503,1.5896551023961276,0.764462510983577
0714,157,1.6042183019858345,0.7714659295927591
0715,172,1.7921693800599328,0.8618512923485043
0716,2,0.6931471805599453,0.33333333333333337
0717,257,1.5192999775293603,0.730628847734774
0719,592,1.5813174346055545,0.7604529403255638
0721,2106,1.451425824618199,0.6979882797982834
0722,1763,1.2692548502280299,0.6103825593494143
0723,982,1.576062462744727,0.7579258330443549
0724,1764,1.0972656184351002,0.5276732220847602
0725,234,1.370769010840779,0.6592005513814206
0726,373,1.5180574477561262,0.7300313172207733
0727,513,1.4945519687013484,0.7187275711987576
0728,1,-0,-0
0729,331,1.3104573329880436,0.6301967651994759
0732,789,1.57799865004976,0.7588569423187559
0733,333,1.5081756435139093,0.7252791738956794
0734,1418,1.579103030281647,0.7593880369466889
0735,791,1.5715865077826152,0.7557733537019945
0736,1141,0.8125374759567161,0.39074792903306327
0737,550,1.4425565976804418,0.6937230832250764
0738,427,1.6672714187117519,0.8017880691971171
0739,140,1.4254609765898107,0.6855018273022863
0742,388,1.6095337017286244,0.7740220965425142
0743,759,1.5215028773365484,0.7316882186105758
0745,1215,1.539515206445116,0.7403503179038393
0747,444,1.3910932955654027,0.6689744663086973
0749,790,1.3934656343365104,0.6701153201021591
0752,712,1.6253820868061948,0.7816435587283507
0753,570,1.637873207504858,0.7876505180240531
0755,549,1.6171338434657858,0.7776769921405995
0756,2,0.6931471805599453,0.33333333333333337
0758,689,1.6406905798389553,0.7890053877222997
0759,909,1.514894168509377,0.7285101014600294
0762,1039,1.6832628507876364,0.8094783224479808
0763,558,1.5337971435462363,0.7376005109079377
0764,547,1.654808255110593,0.7957945544233904
0765,2529,1.7158598318016438,0.8251541567336008
0766,238,1.6028831788698708,0.7708238710933
0767,343,1.6875304095296166,0.8115305843925665
0768,1,-0,-0
0769,545,1.7235107900549806,0.8288334899103134
0771,1,-0,-0
0772,1,-0,-0
0773,471,1.6062263646341792,0.7724316036009462
0774,573,1.6680351996270868,0.8021553701767434
0775,667,1.75893983517479,0.8458712591429068
0776,442,1.6457301851318062,0.7914289255769775
0777,330,1.649730773955088,0.7933528021289723
0778,330,1.6642115026557802,0.8003165606239547
0779,334,1.6266228535487182,0.7822402414037968
0782,1270,1.6495864661778428,0.7932834047574412
0783,726,1.67606815781109,0.8060184064886534
0784,624,1.6843926441086714,0.8100216381884764
0785,620,1.6981359520601018,0.8166307722641225
0787,180,1.6247642544227276,0.7813464441564412
0788,287,1.65464605846515,0.7957165543247139
0789,541,1.6335823318675096,0.7855870430230284
0800,1,-0,-0
0801,145,1.4428457028734554,0.693862113434495
0802,384,1.378746443724883,0.6630368856683945
0803,191,1.468948147452905,0.7064147358844453
0804,205,1.5505404144254102,0.7456523221964859
0805,555,1.5743297262527864,0.7570925629296582
0806,452,1.593131798935159,0.7661344486020891
0807,369,1.522282001729721,0.732062898243331
0808,461,1.6194968355433494,0.7788133511245865
0809,225,1.7219651948727321,0.8280902157420961
0811,776,1.4103224584860201,0.6782217389707041
0812,212,1.3262349237642632,0.6377841825228184
0813,317,1.58305167737194,0.7612869348051511
0814,177,1.3954178278075466,0.6710541267153324
0815,198,1.3489454358666018,0.648705630251516
0816,251,1.2483563935466153,0.6003325260772444
0817,1207,1.4051820791924714,0.6757497390656738
